Title;Kicker;Link;Img;IsNews
Categories;;"javascript:void(0);";;0
Land Based Casinos;;https://www.yogonet.com/international/news/land-based-casinos/;;0
Companies;;https://www.yogonet.com/international/news/companies/;;0
Legislation;;https://www.yogonet.com/international/news/legislation/;;0
Lotteries;;https://www.yogonet.com/international/news/lotteries/;;0
Online Gaming;;https://www.yogonet.com/international/news/online-gaming/;;0
Associations;;https://www.yogonet.com/international/news/associations/;;0
Sports Betting;;https://www.yogonet.com/international/news/sports-betting/;;0
Interviews;;https://www.yogonet.com/international/news/interviews/;;0
eSports;;https://www.yogonet.com/international/news/esports/;;0
Columns;;https://www.yogonet.com/international/columns/;;0
Events;;https://www.yogonet.com/international/news/events/;;0
Illegal Gambling;;https://www.yogonet.com/international/news/illegal-gambling/;;0
Legal News;;https://www.yogonet.com/international/news/legal-news/;;0
Horse Racing;;https://www.yogonet.com/international/news/horse-racing/;;0
Regulators;;https://www.yogonet.com/international/news/regulators/;;0
Education;;https://www.yogonet.com/international/news/education/;;0
Regions;;"javascript:void(0);";;0
United States;;https://www.yogonet.com/international/regions/united-states/;;0
United Kingdom;;https://www.yogonet.com/international/regions/united-kingdom/;;0
Canada;;https://www.yogonet.com/international/regions/canada/;;0
Australia;;https://www.yogonet.com/international/regions/australia/;;0
Macau;;https://www.yogonet.com/international/regions/macau/;;0
Malta;;https://www.yogonet.com/international/regions/malta/;;0
Latin America;;https://www.yogonet.com/international/regions/latin-america/;;0
Asia;;https://www.yogonet.com/international/regions/asia/;;0
Europe;;https://www.yogonet.com/international/regions/europe/;;0
Calendar;;https://www.yogonet.com/international/events/calendar/;;0
Special Issues;;https://www.yogonet.com/international/special-issues/;;0
Photos;;https://www.yogonet.com/international/photos/;;0
Videos;;https://www.yogonet.com/international/videos/;;0
Magazines;;https://www.yogonet.com/international/magazines/;;0
Advertisers;;https://www.yogonet.com/international/advertisers/;;0
Mediakit;;https://www.yogonet.com/mediakit/;;0
"Edition                        
                                                    :International";International;"javascript:void(0);";;0
Go to Latinoamérica;;https://www.yogonet.com/latinoamerica/;;0
Go to Brasil;;https://www.yogonet.com/brasil/;;0
Latest News;;https://www.yogonet.com/international/latest-news/;;0
INTERVIEWS;;https://www.yogonet.com/international/topics/interviews/;;0
Subscribe to our newsletter;;javascript:void(0);;0
New bill seeking to impose limit on Massachusetts sports betting;;https://www.yogonet.com/international/news/2025/04/03/100235-new-bill-seeking-to-impose-limit-on-massachusetts-sports-betting;https://imagenesyogonet.b-cdn.net/data/imagenes/2021/07/23/37799/1627067105-massachusetts-house-exterior.jpg;1
Caesars Entertainment launches first live dealer studio inside a Caesars Rewards destination;;https://www.yogonet.com/international/news/2025/04/03/100247-caesars-entertainment-launches-first-live-dealer-studio-inside-a-caesars-rewards-destination;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/02/74224/1743608212-caesars-first-live-dealer-studio.jpg;1
Ernie Stevens Jr. elected for 12th term as chairman of the Indian Gaming Association;;https://www.yogonet.com/international/news/2025/04/03/100332-ernie-stevens-jr-elected-for-12th-term-as-chairman-of-the-indian-gaming-association;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/03/74229/1743682648-ernie-stevens-indian-gaming-association-2025.jpg;1
Colorado sports betting revenue jumps 80% to $46.4 million in February;;https://www.yogonet.com/international/news/2025/04/03/100232-colorado-sports-betting-revenue-jumps-80-to-464-million-in-february;https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/06/69753/1730906583-apuestas-deportivas-generica-40.jpg;1
Light & Wonder pulls Jewel of the Dragon as legal dispute escalates;;https://www.yogonet.com/international/news/2025/04/03/100339-light-wonder-pulls-jewel-of-the-dragon-as-legal-dispute-escalates;https://imagenesyogonet.b-cdn.net/data/imagenes/2023/10/11/58411/1697031058-g2e-2023-2-13-stand-light-wonder.jpg;1
1xBet to showcase affiliate strategy, host prize giveaways at SiGMA Americas 2025 in São Paulo;;https://www.yogonet.com/international/news/2025/04/03/100243-1xbet-to-showcase-affiliate-strategy-host-prize-giveaways-at-sigma-americas-2025-in-sao-paulo;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/03/74252/1743689625-1xbet-bis-sigma-americas-2025.jpg;1
End 2 End achieves certification to operate in Brazil;;https://www.yogonet.com/international/news/2025/04/03/100348-end-2-end-achieves-certification-to-operate-in-brazil;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/03/74230/1743682648-end-2-end-certificacion-brasil.jpg;1
Bacta's George McGregor to step down from Executive Director - Govt. Relations position;;https://www.yogonet.com/international/news/2025/04/03/100230-bacta-39s-george-mcgregor-to-step-down-from-executive-director-govt-relations-position;https://imagenesyogonet.b-cdn.net/data/imagenes/2024/02/23/61884/1708703925-george-mcgregor-executive-director-government-relations-bacta.jpg;1
Rubens Barrichello to deliver keynote on SiGMA Americas' opening day;;https://www.yogonet.com/international/news/2025/04/03/100246-rubens-barrichello-to-deliver-keynote-on-sigma-americas-39-opening-day;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/01/74205/1743534342-softswiss-sigma-americas-2025-rubens-barrichello-keynote-speaker.jpg;1
Play'n GO expands South Africa reach with Hollywoodbets partnership;;https://www.yogonet.com/international/news/2025/04/03/100227-play-39n-go-expands-south-africa-reach-with-hollywoodbets-partnership;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/03/74255/1743690320-play-n-go-hollywood-bets-live-south-africa.jpg;1
Germany: Merkur Spielbanken NRW breaks ground on new casino in Siegburg;;https://www.yogonet.com/international/news/2025/04/03/100130-germany-merkur-spielbanken-nrw-breaks-ground-on-new-casino-in-siegburg;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/01/74190/1743520121-merkur-spielbanken-nrw-groundbreaking-siegburg-casino.jpg;1
Indian Gaming Association sets legislative agenda in Board of Directors meeting;;https://www.yogonet.com/international/news/2025/04/03/100248-indian-gaming-association-sets-legislative-agenda-in-board-of-directors-meeting;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/02/74221/1743607890-indian-gaming-tradeshow-2025-conferences.jpg;1
Zitro installs new Concept cabinet line at Mexico’s Taj Mahal Casino;;https://www.yogonet.com/international/news/2025/04/03/100239-zitro-installs-new-concept-cabinet-line-at-mexicos-taj-mahal-casino;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/01/74202/1743534167-zitro-concept-taj-mahal-casino-villahermosa-tabasco-mexico-eng.jpg;1
Bulgaria extends minimum gambling self-exclusion term to one year;;https://www.yogonet.com/international/news/2025/04/03/100126-bulgaria-extends-minimum-gambling-selfexclusion-term-to-one-year;https://imagenesyogonet.b-cdn.net/data/imagenes/2024/05/13/64237/1715620893-bulgarian-igaming-market-generica.jpg;1
Condiciones de uso;;https://www.yogonet.com/international/terms-and-conditions/;;0
Unsubscribe;;https://www.yogonet.com/international/newsletter/unsubscribe/;;0
Pragmatic Play to exhibit at GAT Expo Cartagena 2025 as diamond sponsor;;https://www.yogonet.com/international/news/2025/04/03/100238-pragmatic-play-to-exhibit-at-gat-expo-cartagena-2025-as-diamond-sponsor;https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/03/74232/1743688262-pragmatic-play-gat-expo-cartagena-2025-eng.jpg;1
East Coast Gaming Congress to feature NJ Governor, lineup of industry leaders;;https://www.yogonet.com/international/news/2025/04/03/100255-east-coast-gaming-congress-to-feature-nj-governor-lineup-of-industry-leaders;https://imagenesyogonet.b-cdn.net/data/imagenes/2022/09/23/49180/1663940373-phil-murphy-gobernador-new-jersey-east-coast-gaming-congress.jpg;1
Missouri lawmakers facing tight deadline for passing video lottery bill;;https://www.yogonet.com/international/news/2025/04/03/100137-missouri-lawmakers-facing-tight-deadline-for-passing-video-lottery-bill;https://imagenesyogonet.b-cdn.net/data/imagenes/2021/02/04/34933/1625365444-missouri-capitolio-legislatura.jpg;1
BlueBet completes TopSport acquisition, eyes PointsBet deal;;https://www.yogonet.com/international/news/2025/04/03/100141-bluebet-completes-topsport-acquisition-eyes-pointsbet-deal;https://imagenesyogonet.b-cdn.net/data/imagenes/2022/11/01/50238/1667313621-acuerdo-generica-01.jpg;1
